name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
L Ronchi,2013-2014,17,16,4,249,49,115.81,0,0,1,New Zealand
RB Reid,1988-1991,9,9,0,248,64,55.35,0,2,0,New Zealand
RH Vance,1988-1989,8,8,0,248,96,51.55,0,1,0,New Zealand
JFM Morrison,1975-1983,17,14,3,247,55,53.57,0,1,0,New Zealand
BE Congdon,1973-1978,8,8,3,237,82,65.46,0,2,0,New Zealand
GJ Hopkins,2004-2010,21,17,1,236,45,75.88,0,0,3,New Zealand
DR Flynn,2008-2012,17,16,2,228,35,63.68,0,0,2,New Zealand
JM Parker,1974-1981,22,19,0,223,66,60.1,0,1,1,New Zealand
WK Lees,1979-1983,31,24,5,215,26,70.03,0,0,1,New Zealand
MHW Papps,2004-2005,6,6,2,207,92*,60.52,0,2,0,New Zealand
PE McEwan,1980-1985,15,15,0,204,41,58.95,0,0,0,New Zealand
PJ Ingram,2010-2010,7,7,0,193,69,81.09,0,1,0,New Zealand
C Pringle,1990-1995,61,40,18,190,34*,76.61,0,0,3,New Zealand
SB Doull,1992-2000,41,27,13,172,22,91.48,0,0,2,New Zealand
DK Morrison,1987-1996,96,43,24,171,20*,42.75,0,0,7,New Zealand
RA Jones,2003-2003,5,5,0,168,63,51.06,0,1,0,New Zealand
BR Blair,1982-1986,13,13,1,167,29*,68.16,0,0,2,New Zealand
C Munro,2013-2013,6,6,0,167,85,98.81,0,2,1,New Zealand
CD Cumming,2003-2009,13,13,1,161,45*,53.48,0,0,3,New Zealand
JTC Vaughan,1992-1996,17,15,7,156,33,65,0,0,0,New Zealand
AM Ellis,2012-2013,14,12,1,154,33,83.69,0,0,1,New Zealand
AJ Redmond,2009-2010,6,6,0,152,52,58.68,0,1,0,New Zealand
CM Kuggeleijn,1988-1989,16,11,2,142,40,63.67,0,0,1,New Zealand
GN Edwards,1976-1981,6,6,0,138,41,72.25,0,0,1,New Zealand
MD Bell,1998-2001,7,7,0,133,66,49.62,0,1,0,New Zealand
EJ Chatfield,1979-1989,110,48,37,118,19*,34.1,0,0,6,New Zealand
JDS Neesham,2013-2014,11,9,3,117,42*,95.12,0,0,2,New Zealand
BF Hastings,1973-1975,8,8,1,114,34,53.27,0,0,1,New Zealand
JW Wilson,1993-2005,6,6,1,103,44*,91.96,0,0,1,New Zealand
GB Troup,1976-1985,22,12,8,101,39,72.14,0,0,0,New Zealand
MW Priest,1990-1998,16,13,3,99,24,45.41,0,0,2,New Zealand
